"id","track_id","artist_popularity","genres","name","followers"
"0qC4DawW3xCirhuq5cvaKV","4uBbgoKiRzcjgjVH6FqgTS","46.0","['classic swedish pop', 'swedish pop', 'swedish singer-songwriter', 'swedish soul']","Mauro Scocco","26946.0"
"5kOwMqoAYEX24YgxEZP6K7","6h5RrVTDlhQYMDXrvwi37B","51.0","['finnish dance pop', 'finnish hip hop', 'finnish pop', 'iskelma', 'suomi rock']","ABREU","30735.0"
"4SzD0wClEg9NKVJZbCRFqS","3iIZvct75tkk1CwbqVjsry","69.0","['reggaeton flow', 'trap latino']","Ele A El Dominio","345401.0"
"5UgYIWTgZ9x2aPUrWkaWop","43eBgYRTmu5BJnCJDBU5Hb","47.0","[]","David Kershenbaum","88.0"
"2Ge3GDP9066h1TxaU5LuCF","0f7xqA49nxveqVBovdoVVZ","25.0","['chamber psych']","Toydrum","1537.0"
"6CWJdC5quZzFVv8Kx2xdHn","7pUkWYaB6hvTywvSvzJggJ","25.0","[]","Elizandro Sfreddo","739.0"
"5Dl3HXZjG6ZOWT5cV375lk","0tOXHPyhru9y71Mn1E1lZg","70.0","['classical', 'classical cello', 'classical performance']","Yo-Yo Ma","303467.0"
"5w39eY1aNDybnDGTNgVt3r","49rrPHxp0944ZLgAi7XfY8","52.0","['pop edm']","Midnight Kids","5580.0"
"0IUwZRBFdts7QgNElmqsWR","6yOhU3jq4WrW5grIlRYOId","33.0","['british contemporary classical', 'contemporary classical']","Peter Maxwell Davies","1349.0"
"2Z4U4PH95In5LrNdQ8g2b7","6DCZ3YMbZX4DvB4cTP6eUS","9.0","[]","Anne Bierwirth","3.0"
"5Ln6VxkwRDdAH40Lel6Yj8","5zoPUEGxpa4Ohpr92pFz0p","43.0","[]","Nidia Gongora","3444.0"
"3EiLUeyEcA6fbRPSHkG5kb","7IzTqlcNIVONE35fEgj9w5","79.0","['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']","De La Ghetto","2786244.0"
"1pgDilWYDWLoOgGjf1iHNu","7ch7IMYm9DaujSfI1ToSzu","66.0","['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'tropical']","Zion","1059138.0"
"0xcogVKoT8y5OBIg3L0fua","6dyXeg9ss1cqgKLTdZsREO","46.0","['orchestral performance']","Leonard Slatkin","2766.0"
"3ALm6zJLaJMWV0r89kuYtu","3TlQt4KN12OLdpuAXLbWmA","55.0","['bow pop', 'italian arena pop', 'italian pop']","Modà","375139.0"
"1gcxjUsibcDL8ozou6S77D","1FpYYmYX0VbzFwrYgUOKBE","18.0","[]","Guys in Charge","0.0"
"1eBHjBxiNA3gyEWEN7oRxM","0aI4SOX8BknvAfOs607FlV","41.0","['deep indian pop']","Vijay","3366.0"
"2OT1t2WkAruohDNIwOE8OF","1ca6IbtR9XXpd1nv2G1cm3","28.0","[]","Jose Reyes","855.0"
"2eUKkTNZsIuZzV95DM0cbt","0K3WykKk7ygKljIlHR4QtY","51.0","['hebrew pop', 'israeli mediterranean', 'israeli pop', 'mizrahi']","Eden Ben Zaken","141290.0"
"0dI3oq7oIQ72os9vNrJ5uz","1P7D9W9IVhp1yyhPBtKjsl","19.0","['classic venezuelan pop', 'musica llanera']","Mario Suárez","588.0"
"2Ro0uSqcQMG6L3ZRyoDEsG","3QOkh4VtvJqOa6kCk1fyN3","55.0","['duranguense', 'norteno']","Conjunto Rio Grande","60585.0"
"5wTAi7QkpP6kp8a54lmTOq","0ehXjy7A7JmQxqN2iZtOpI","64.0","['classical', 'late romantic era']","Johannes Brahms","404258.0"
"32ZzRl7e5UFtJnDO2URfGi","3Yt7spoHQ3ltWuBBgYmdO6","21.0","[]","Keerthy Suresh","50.0"
"5CYAFhywQTXdZmppCp0ukd","1LxenWKrYzbX8zvbuZgKHn","50.0","['bass house', 'house', 'microhouse', 'minimal techno']","Claude VonStroke","67036.0"
"6x2A1plCACc4NHUpQm90EO","1Zig6j5sFMIWvEkpluyCPF","43.0","[]","Jorulf","5.0"
"2sEVBoFk6vI3WlOAy3YyqJ","56FpYaRnNQQxdBEzRb7otj","35.0","['choral', 'classical performance', 'early music ensemble', 'viol']","Paolo Pandolfo","2552.0"
"0fjWUVfvCKERwDlx0SepSR","2rObT05oR8VLpd43sgURiM","29.0","['boy band']","C21","2245.0"
"2GFsWXpTIn6G1kRjW3RAQX","4jDMIiLf6D1HC0GS3j5VcI","44.0","['chinese hip hop']","Ty.","3907.0"
"1RMjtNqKOM6V36EngDqEBw","7dMKKLuDqwGxPN29dmale9","46.0","['classical piano']","Van Cliburn","3404.0"
"2ibPkysx2PXqWLmxFD7jSg","6prmiVokCCQB1VAYhq5TGJ","52.0","['rock-and-roll', 'rockabilly']","Stray Cats","105514.0"
"55n0yLUMpJbCd20oPNRbo6","2avr7FGeF1nE5dCPuZNxxd","57.0","['latin', 'latin pop']","The Sacados","45609.0"
"4LKB1IkCINDDjEX8iS7glI","54eOmDg8gQNwl0rtr2l3Wo","54.0","['pop edm']","Young Bombs","7627.0"
"3TAAt2eaoLxf9gnw22otEy","11jAVzBi6jVe6iLhl0vzLk","19.0","[]","Marko Putkonen","19.0"
"2hejA1Dkf8v8R0koF44FvW","28WFyuOp89FeIXP18WRgpM","69.0","['mexican hip hop']","Gera MX","530884.0"
"5Pwc4xIPtQLFEnJriah9YJ","1pfgsjmxVZhoZpeDx6POKv","83.0","['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rap', 'pop rock', 'post-teen pop']","OneRepublic","7125909.0"
"0Odg6UKDVyJQruefzF19FU","7sbEmVgE68ngice4deuQaP","50.0","['hip hop tuga', 'portuguese pop']","Jimmy P","31942.0"
"6e0uL7Sy19UeYHxeoiXKXJ","5St9TDPlfZ8WealT5TCl6s","18.0","[]","Nico Van Der Meel","45.0"
"0Qd65xBSFzdm3zCEu2ThQF","2Ap7Olfl8xOv2Ync3Wv7Yr","59.0","['classic italian pop', 'italian arena pop', 'italian pop']","Biagio Antonacci","315443.0"
"3uC20p2EoNm5LYtzSVWdkL","4Gf68vwxa69hCiXmJ1jvgj","62.0","['dance pop', 'latin', 'latin pop', 'mexican pop', 'rock en espanol']","Fey","402638.0"
"3QYSNiMCfm1Roaef3WpmpC","4afJWj5CVZhfHsoTChHRF1","30.0","['classic finnish pop', 'classic iskelma', 'iskelma']","Joel Hallikainen","2561.0"
"25tMQOrIU4LlUo6Sv8v5SE","3b5Li4QKDVBx1x7fQuu54a","74.0","['australian pop', 'neo mellow', 'pop', 'viral pop']","Gavin James","238664.0"
"1bSn5aMcE83TXLlLDU9rTy","6cZRY3VaE6FeiMPHpaTvq0","55.0","['dancehall', 'lovers rock', 'reggae fusion', 'roots reggae', 'soca']","Jah Cure","180582.0"
