"id","track_id","total_tracks","external_urls","album_type","available_markets","artist_id","images","release_date","name","release_date_precision"
"0nADFh0iS3XQTu1CrCpMCj","4ZmpPJu31jo97H26ia4234","1.0","{'spotify': 'https://open.spotify.com/album/0nADFh0iS3XQTu1CrCpMCj'}","single","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","31ZNfGVEEcI9CyicPVJQni","[{'height': 640, 'url': 'https://i.scdn.co/image/95aeb9aeca89e176bf95d091877ae68f3c44cbeb', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/01229d04c0ccb088b8f8ea2a8b0437c86dad9c2e', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/fb825d22eeb2f94fa7f45dec67c388f6a6220502', 'width': 64}]","2019-03-01","Come Alive","day"
"32Fn9trG8M7M9oSmh7es8t","3fLjyjkkXQNo6MMBPuq5X3","36.0","{'spotify': 'https://open.spotify.com/album/32Fn9trG8M7M9oSmh7es8t'}","compilation","['DK', 'FI', 'IS', 'NO', 'SE']","0LyfQWJT6nXafLPZqxe9Of","[{'height': 623, 'url': 'https://i.scdn.co/image/3e8223adb4707457356455072b57bd2a86cb0611', 'width': 640}, {'height': 292, 'url': 'https://i.scdn.co/image/908582d309306d2097792a92960bfc2fe2effd42', 'width': 300}, {'height': 62, 'url': 'https://i.scdn.co/image/64709ee1a1363eeec2560d14180d08acb9b83925', 'width': 64}]","1995","90-luvun hitit","year"
"5o7aTFLX6R2wP4A9A2VfRr","0gywNpgCIMjeQ9py5oeqeS","1.0","{'spotify': 'https://open.spotify.com/album/5o7aTFLX6R2wP4A9A2VfRr'}","single","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","6IaU4ORtf3LOOTY3rq36VL","[{'height': 640, 'url': 'https://i.scdn.co/image/6f3624561dcbef475a634b36fe25cfa5f60efee4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/d2f41298fa7293633ddd5e8b0e163283f2493f41', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/fd5c21ab8397097fe33f869f1ac393e792f2a402', 'width': 64}]","2018-10-24","Gabaritey","day"
"5MBUL8d9FAYCCMrogOFX68","3AA8xNhDC0MpqwkGX3EP5V","10.0","{'spotify': 'https://open.spotify.com/album/5MBUL8d9FAYCCMrogOFX68'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","1xU878Z1QtBldR7ru9owdU","[{'height': 640, 'url': 'https://i.scdn.co/image/b8b96e31074847815dd61a772864c9e0978d90cc', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/a424cb5cdd3b135f5689b19bde861c06342ef604', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/611075a194bd41992f62f41b9bb4d1fb956e1235', 'width': 64}]","2000-03-06","United","day"
"6t1hKHHrnYzUxYTLaEl9UL","2Iz3hx26nSpPoAbZwZ1ATF","21.0","{'spotify': 'https://open.spotify.com/album/6t1hKHHrnYzUxYTLaEl9UL'}","album","['AD', 'AE', 'AR', 'AT', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HN', 'HU', 'IE', 'IL', 'IS', 'IT', 'JO', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'NI', 'NL', 'NO', 'OM', 'PA', 'PE', 'PL', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SK', 'SV', 'TN', 'TR', 'US', 'UY', 'ZA']","5uM0Xhxwo3D632eVABcctF","[{'height': 640, 'url': 'https://i.scdn.co/image/5ffe6c4b1b007bf574b6b392c290cf4831ba41d5', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/4fb29e2a7e5fab8572e8c8471f8f71d48cc8272b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/4c6d9aa43d281bb7eee0ff3b35c2c3bd6b96f7ee', 'width': 64}]","2009-12-22","That's How We Do It!","day"
"6GbhRC2huYcTVGf4TOXVqd","439kdOcVhEp5gQ67eYNkKG","11.0","{'spotify': 'https://open.spotify.com/album/6GbhRC2huYcTVGf4TOXVqd'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","1CPwHx5lgVxv0rfcp7UXLx","[{'height': 640, 'url': 'https://i.scdn.co/image/6306c956d60836f1aeb83e2240cc6da09c7ff6e8', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/093a4445ae9fb5595dfb9be59183e9413558fadb', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/2f7f53e013be7d5207b08e5f9c4573c4be797939', 'width': 64}]","1970-01-01","Ry Cooder","day"
"1X3V7gdTJnzvyh4iAGe0zy","7m3zESC5sYrdRTlq1EO5Ep","10.0","{'spotify': 'https://open.spotify.com/album/1X3V7gdTJnzvyh4iAGe0zy'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","3MQuQtVNJG9SchM1l2CTm3","[{'height': 640, 'url': 'https://i.scdn.co/image/4af5ef421d71e1035a3af026348593ffb65186d4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/b12e445e161cd5416601b53f7bf082c395faa9f4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/0429ac8d4aedc6d2e3663d10040952f615be4e01', 'width': 64}]","2018-09-14","Anytime You Need Me","day"
"5n4YowrkQSO1rYmDFBduOV","36gx8IEEcPqOhizWIFlZkQ","16.0","{'spotify': 'https://open.spotify.com/album/5n4YowrkQSO1rYmDFBduOV'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","0GQKmEguhkY8DCzH4NdJvD","[{'height': 640, 'url': 'https://i.scdn.co/image/10e506a1820446f9445173f3a07b9760e9ab5d66', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/b8c5b07a41c96bed2c471d08d24db2c981be7705', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/e60c7c20b38918340a8124e2a7b71b344e9ba669', 'width': 64}]","2017-05-19","Piano e Voz, Amigos e Pertences 2 (Ao Vivo)","day"
"3RMJGE9wUZyQ4wcXipl9xu","1DXfP4pjVF28uQ89ptFOMw","10.0","{'spotify': 'https://open.spotify.com/album/3RMJGE9wUZyQ4wcXipl9xu'}","album","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UY', 'VN', 'ZA']","3u7hrkQcZmqCkcDg3WPczt","[{'height': 640, 'url': 'https://i.scdn.co/image/89bb119fdf775c06dc1dc098d88a51d8a75ad195', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/86755ea0c52dafc04fcd8dd95866ae64168d9e86', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/f65fcd38edc18d730d2624e03268c0395e1782e6', 'width': 64}]","2014-02-25","City Heart, Southern Soul","day"
"0YgTz24prtvBNFvLUf0bHx","0wyTaLdr1Rc0tMPpMTPUWD","1.0","{'spotify': 'https://open.spotify.com/album/0YgTz24prtvBNFvLUf0bHx'}","single","['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']","3TVjdmhfFoYJLgBEkkZTBm","[{'height': 640, 'url': 'https://i.scdn.co/image/72605cedee34bc084dba59fb3d80e2b4724c0ea6', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/c9621285ad2fd57d7316a367ca24cae121d37464', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/095e3cff77f20f7a24bba9cbf8e7e03a3116b471', 'width': 64}]","2017-02-10","Standing When It All Falls Down (Official NiP Team Song)","day"
